1,37.64
2,37.63
3,37.38
4,37.31
5,37.38
6,37.81
7,37.79
8,37.62
9,37.62
10,37.49
11,37.03
12,37.25
13,37.2
14,37.93
15,37.85
16,37.51
17,37.28
18,35.79
19,36.26
20,36.28
21,35.27
22,33.5
23,32.67
24,32.88
25,32.91
26,33.51
27,33.4
28,33.71
29,33.9
30,34.15
31,33.82
32,33.9
33,33.31
34,34.78
35,34.36
36,36.08
37,35.81
38,36.21
39,36.06
40,35.23
41,34.41
42,34.98
43,35.27
44,35.24
45,34.56
46,33.87
47,33.55
48,33.53
49,33.48
50,32.63
51,31.76
52,31.64
53,30.81
54,30.62
55,31.7
56,31.94
57,32.14
58,32.72
59,32.28
60,33.52
61,33.23
62,33.66
63,33.37
64,33.05
65,33.31
