1,44.18
2,42.08
3,43.7
4,44.06
5,44.38
6,44.6
7,43.21
8,43.45
9,43.99
10,44.3
11,43.65
12,43.56
13,44.37
14,44.12
15,43.07
16,43.18
17,42.9
18,42.61
19,43.57
20,44.08
21,44.8
22,45.1
23,44.43
24,43.75
25,43.56
26,49.8
27,49.14
28,49.57
29,48.74
30,48.43
31,47.6
32,46.79
33,46.06
34,47.54
35,47.7
36,49.15
37,49.92
38,50.28
39,48.99
40,49.62
41,49.2
42,49.71
43,50.66
44,51.54
45,50.35
46,50.67
47,50.65
48,50.19
49,51.46
50,50.99
51,51.06
52,50.93
53,49.02
54,49.5
55,50.42
56,49.54
57,49.54
58,50.33
59,48.75
60,50.52
61,51.03
62,50.19
63,50.71
64,50.27
65,51.43
66,51.86
