1,57.19
2,56.48
3,57.25
4,57.18
5,56.81
6,57.49
7,57.65
8,57.4
9,57.83
10,57.14
11,57.61
12,56.58
13,56.46
14,56.35
15,55.29
16,54.87
17,54.47
18,54.7
19,56.28
20,54.73
21,54.54
22,55.04
23,55.03
24,55
25,54.43
26,51.86
27,48.8
28,49.3
29,49.43
30,48.34
31,47.71
32,48.24
33,46.67
34,46.93
35,45.52
36,47.59
37,47.55
38,48.05
39,47.01
40,46.27
41,46.87
42,46.96
43,47.19
44,47.5
45,47.62
46,48.33
47,48.08
48,47.96
49,47.98
50,47.68
51,47.5
52,46.17
53,45.5
54,45.23
55,45
56,44.73
57,44.83
58,45.53
59,45.56
60,46.44
61,46.52
62,45.8
63,43.44
64,43.21
65,43.75
